Year,Gender,Age,DayOfWeek,Hour,Location,Severity
2016,Male,42,Saturday,13,Hîncești,Without fatalities
2023,Male,22,Saturday,14,Cahul,Without fatalities
2021,Male,27,Saturday,0,Orhei,Without fatalities
2015,Male,50,Wednesday,19,Orhei,Without fatalities
2022,Male,54,Tuesday,15,Chișinău,Without fatalities
2024,Female,40,Friday,3,Hîncești,Without fatalities
2016,Male,77,Friday,1,Ungheni,Without fatalities
2017,Female,52,Saturday,0,Orhei,With fatalities
2020,Female,36,Monday,12,Edineț,Without fatalities
2023,Male,27,Monday,15,Chișinău,Without fatalities
2022,Female,25,Wednesday,7,Edineț,Without fatalities
2021,Male,45,Tuesday,21,Orhei,Without fatalities
2024,Female,32,Wednesday,3,Chișinău,Without fatalities
2018,Female,65,Tuesday,1,Hîncești,With fatalities
2023,Female,61,Thursday,12,Hîncești,Without fatalities
2017,Male,49,Monday,4,Edineț,With fatalities
2017,Female,22,Wednesday,22,Comrat,Without fatalities
2019,Female,29,Sunday,19,Chișinău,Without fatalities
2024,Female,58,Thursday,20,Chișinău,Without fatalities
2021,Male,31,Friday,23,Edineț,With fatalities
2020,Male,56,Monday,12,Edineț,With fatalities
2021,Female,47,Tuesday,4,Chișinău,With fatalities
2022,Female,40,Saturday,15,Edineț,Without fatalities
2021,Female,29,Friday,5,Edineț,Without fatalities
2024,Female,38,Friday,15,Cahul,Without fatalities
2017,Male,42,Thursday,21,Chișinău,Without fatalities
2021,Male,55,Sunday,23,Cahul,Without fatalities
2020,Male,26,Wednesday,12,Edineț,With fatalities
2023,Female,36,Saturday,10,Edineț,Without fatalities
2024,Male,40,Wednesday,20,Comrat,Without fatalities
2019,Female,49,Thursday,0,Bălți,Without fatalities
2024,Female,26,Friday,3,Soroca,Without fatalities
2023,Female,20,Monday,2,Edineț,Without fatalities
2023,Male,50,Friday,17,Cahul,Without fatalities
2016,Female,18,Thursday,22,Orhei,Without fatalities
2024,Male,59,Friday,15,Bălți,Without fatalities
2023,Female,37,Saturday,12,Edineț,Without fatalities
2022,Male,18,Friday,12,Hîncești,Without fatalities
2017,Female,32,Friday,6,Chișinău,Without fatalities
2021,Male,45,Friday,23,Ungheni,Without fatalities
2023,Female,32,Monday,14,Orhei,Without fatalities
2021,Male,40,Tuesday,14,Bălți,Without fatalities
2021,Female,51,Tuesday,4,Orhei,Without fatalities
2019,Female,36,Wednesday,16,Comrat,Without fatalities
2015,Female,25,Tuesday,21,Orhei,Without fatalities
2021,Male,35,Tuesday,21,Edineț,With fatalities
2023,Female,61,Tuesday,10,Soroca,Without fatalities
2017,Female,65,Sunday,23,Cahul,With fatalities
2024,Female,18,Friday,12,Bălți,Without fatalities
2022,Male,56,Sunday,9,Bălți,Without fatalities
2023,Female,43,Friday,14,Bălți,Without fatalities
2022,Female,53,Saturday,1,Soroca,Without fatalities
2017,Male,31,Monday,10,Ungheni,Without fatalities
2024,Female,18,Sunday,10,Bălți,Without fatalities
2023,Male,48,Friday,21,Soroca,Without fatalities
2015,Female,25,Friday,0,Comrat,Without fatalities
2022,Male,19,Tuesday,7,Soroca,Without fatalities
2021,Male,20,Monday,16,Edineț,Without fatalities
2024,Male,49,Monday,7,Orhei,With fatalities
2017,Female,42,Tuesday,12,Hîncești,Without fatalities
2022,Female,51,Sunday,22,Soroca,Without fatalities
2019,Male,50,Tuesday,4,Edineț,Without fatalities
2018,Female,33,Monday,5,Orhei,With fatalities
2014,Female,38,Thursday,19,Comrat,Without fatalities
2020,Male,32,Tuesday,13,Edineț,Without fatalities
2020,Male,36,Tuesday,16,Ungheni,Without fatalities
2021,Male,25,Monday,15,Ungheni,Without fatalities
2023,Male,45,Sunday,8,Orhei,Without fatalities
2020,Female,56,Thursday,18,Bălți,Without fatalities
2018,Female,27,Saturday,1,Hîncești,Without fatalities
2020,Female,59,Thursday,3,Edineț,Without fatalities
2015,Female,41,Wednesday,19,Bălți,With fatalities
2024,Female,43,Thursday,8,Chișinău,Without fatalities
2015,Female,18,Tuesday,3,Ungheni,Without fatalities
2018,Male,18,Friday,4,Ungheni,Without fatalities
2021,Female,42,Monday,5,Bălți,Without fatalities
2024,Female,51,Saturday,19,Soroca,Without fatalities
2017,Female,29,Tuesday,0,Cahul,Without fatalities
2020,Male,65,Saturday,12,Cahul,With fatalities
2024,Male,51,Monday,17,Cahul,Without fatalities
2022,Female,26,Saturday,2,Ungheni,Without fatalities
2022,Male,40,Thursday,19,Soroca,Without fatalities
2024,Male,77,Monday,4,Ungheni,Without fatalities
2021,Female,21,Tuesday,12,Hîncești,Without fatalities
2014,Female,47,Friday,9,Ungheni,Without fatalities
2015,Female,35,Tuesday,2,Comrat,Without fatalities
2022,Male,50,Sunday,10,Soroca,Without fatalities
2018,Male,59,Wednesday,0,Hîncești,Without fatalities
2021,Female,34,Monday,14,Hîncești,Without fatalities
2022,Male,56,Tuesday,23,Edineț,With fatalities
2022,Male,73,Thursday,23,Orhei,Without fatalities
2016,Male,40,Thursday,3,Orhei,Without fatalities
2023,Female,51,Sunday,14,Bălți,Without fatalities
2024,Female,31,Saturday,6,Comrat,Without fatalities
2019,Female,40,Tuesday,14,Hîncești,With fatalities
2020,Female,37,Saturday,3,Hîncești,Without fatalities
2023,Female,51,Wednesday,2,Bălți,Without fatalities
2018,Male,58,Monday,22,Hîncești,Without fatalities
2022,Male,38,Wednesday,13,Comrat,Without fatalities
2022,Male,63,Friday,5,Soroca,Without fatalities
2024,Male,62,Sunday,0,Soroca,Without fatalities
2020,Male,52,Saturday,8,Orhei,Without fatalities
2021,Male,32,Tuesday,11,Edineț,With fatalities
2018,Female,30,Saturday,17,Bălți,Without fatalities
2019,Female,27,Wednesday,2,Cahul,Without fatalities
2016,Male,54,Sunday,20,Comrat,Without fatalities
2018,Female,21,Friday,18,Cahul,Without fatalities
2020,Male,50,Wednesday,2,Chișinău,With fatalities
2021,Male,23,Friday,23,Orhei,Without fatalities
2023,Female,52,Sunday,13,Comrat,Without fatalities
2021,Female,40,Thursday,3,Hîncești,Without fatalities
2015,Male,60,Thursday,12,Chișinău,With fatalities
2023,Female,57,Tuesday,12,Hîncești,Without fatalities
2021,Male,61,Wednesday,1,Comrat,Without fatalities
2024,Male,61,Thursday,20,Edineț,Without fatalities
2022,Male,42,Saturday,1,Cahul,Without fatalities
2021,Male,22,Sunday,9,Soroca,With fatalities
2019,Male,24,Monday,10,Cahul,Without fatalities
2018,Female,18,Sunday,23,Comrat,Without fatalities
2018,Male,23,Saturday,14,Bălți,Without fatalities
2020,Female,41,Thursday,2,Orhei,Without fatalities
2017,Male,31,Thursday,13,Bălți,Without fatalities
2023,Female,37,Wednesday,17,Hîncești,Without fatalities
2023,Male,47,Friday,18,Orhei,With fatalities
2023,Female,35,Monday,18,Soroca,Without fatalities
2015,Male,23,Monday,0,Orhei,Without fatalities
2016,Male,39,Friday,18,Orhei,Without fatalities
2022,Female,26,Wednesday,2,Orhei,Without fatalities
2023,Female,35,Thursday,19,Orhei,With fatalities
2014,Female,60,Friday,7,Hîncești,Without fatalities
2019,Female,35,Sunday,16,Comrat,Without fatalities
2017,Female,66,Sunday,0,Chișinău,Without fatalities
2018,Female,61,Sunday,5,Hîncești,Without fatalities
2021,Male,31,Monday,16,Orhei,Without fatalities
2016,Male,23,Monday,20,Edineț,Without fatalities
2018,Male,39,Sunday,0,Cahul,Without fatalities
2022,Female,57,Sunday,12,Cahul,Without fatalities
2021,Female,32,Sunday,23,Hîncești,With fatalities
2024,Female,53,Thursday,11,Hîncești,Without fatalities
2017,Male,58,Thursday,4,Soroca,With fatalities
2020,Female,28,Tuesday,21,Soroca,Without fatalities
2024,Male,29,Saturday,19,Cahul,Without fatalities
2023,Female,50,Friday,12,Comrat,With fatalities
2022,Female,42,Thursday,7,Comrat,Without fatalities
2023,Female,29,Tuesday,11,Cahul,Without fatalities
2021,Male,34,Wednesday,8,Edineț,Without fatalities
2024,Female,38,Sunday,16,Orhei,With fatalities
2022,Male,18,Monday,13,Cahul,Without fatalities
2023,Female,51,Friday,6,Orhei,Without fatalities
2022,Female,32,Saturday,3,Chișinău,Without fatalities
2022,Female,18,Wednesday,23,Orhei,Without fatalities
2022,Female,39,Friday,6,Comrat,Without fatalities
2016,Male,28,Friday,16,Ungheni,With fatalities
2022,Female,65,Thursday,16,Ungheni,Without fatalities
2023,Male,31,Tuesday,0,Cahul,Without fatalities
2014,Female,23,Friday,1,Soroca,Without fatalities
2024,Female,47,Saturday,17,Chișinău,Without fatalities
2024,Female,30,Wednesday,8,Orhei,Without fatalities
2017,Male,28,Saturday,4,Bălți,Without fatalities
2021,Female,47,Friday,0,Ungheni,Without fatalities
2016,Male,24,Saturday,6,Orhei,Without fatalities
2019,Male,18,Saturday,1,Orhei,Without fatalities
2022,Female,65,Sunday,2,Comrat,Without fatalities
2019,Male,48,Tuesday,3,Chișinău,Without fatalities
2020,Female,36,Monday,2,Orhei,Without fatalities
2023,Male,39,Friday,18,Hîncești,Without fatalities
2022,Male,47,Wednesday,11,Edineț,Without fatalities
2021,Male,54,Sunday,14,Edineț,Without fatalities
2019,Male,28,Sunday,3,Orhei,Without fatalities
2023,Female,45,Monday,23,Ungheni,Without fatalities
2021,Male,32,Saturday,0,Chișinău,Without fatalities
2024,Female,37,Monday,15,Soroca,With fatalities
2022,Male,42,Thursday,5,Soroca,Without fatalities
2021,Female,39,Thursday,16,Comrat,Without fatalities
2023,Female,51,Friday,4,Chișinău,Without fatalities
2021,Male,47,Sunday,22,Orhei,Without fatalities
2019,Male,18,Wednesday,12,Comrat,Without fatalities
2017,Female,19,Thursday,11,Chișinău,With fatalities
2022,Male,34,Saturday,0,Cahul,Without fatalities
2021,Male,67,Tuesday,11,Hîncești,Without fatalities
2020,Male,27,Tuesday,21,Edineț,Without fatalities
2020,Male,36,Saturday,1,Orhei,Without fatalities
2022,Male,31,Monday,17,Edineț,Without fatalities
2021,Male,31,Saturday,8,Bălți,With fatalities
2021,Male,42,Monday,15,Comrat,Without fatalities
2019,Male,61,Monday,19,Bălți,Without fatalities
2022,Male,46,Tuesday,14,Cahul,Without fatalities
2020,Female,27,Thursday,21,Bălți,Without fatalities
2023,Male,81,Saturday,9,Soroca,Without fatalities
2021,Male,41,Thursday,1,Soroca,With fatalities
2019,Male,31,Friday,3,Orhei,Without fatalities
2017,Male,61,Wednesday,17,Orhei,With fatalities
2023,Male,32,Tuesday,18,Comrat,With fatalities
2020,Female,64,Sunday,17,Edineț,Without fatalities
2015,Female,26,Monday,13,Ungheni,Without fatalities
2024,Male,61,Wednesday,7,Hîncești,Without fatalities
2020,Female,43,Monday,4,Cahul,Without fatalities
2023,Male,59,Wednesday,4,Soroca,Without fatalities
2021,Male,68,Wednesday,7,Cahul,With fatalities
2024,Female,23,Thursday,10,Bălți,With fatalities
2014,Female,59,Sunday,23,Soroca,With fatalities
2019,Female,18,Friday,22,Hîncești,Without fatalities
2022,Female,24,Friday,20,Orhei,Without fatalities
2019,Female,27,Monday,6,Ungheni,Without fatalities
2023,Male,47,Tuesday,12,Comrat,With fatalities
2022,Male,40,Friday,16,Soroca,Without fatalities
2014,Male,37,Tuesday,18,Comrat,Without fatalities
2022,Female,42,Monday,2,Bălți,Without fatalities
2023,Male,48,Tuesday,1,Bălți,With fatalities
2019,Female,50,Wednesday,5,Hîncești,Without fatalities
2017,Male,56,Wednesday,18,Ungheni,With fatalities
2023,Female,67,Monday,14,Chișinău,With fatalities
2024,Female,39,Tuesday,3,Hîncești,Without fatalities
2022,Male,32,Sunday,18,Chișinău,Without fatalities
2023,Male,49,Sunday,6,Bălți,Without fatalities
2024,Male,22,Tuesday,19,Hîncești,Without fatalities
2021,Male,29,Monday,20,Cahul,Without fatalities
2024,Female,54,Sunday,13,Chișinău,Without fatalities
2020,Male,38,Friday,6,Cahul,With fatalities
2023,Female,21,Thursday,19,Hîncești,Without fatalities
2024,Male,18,Friday,13,Bălți,Without fatalities
2021,Male,40,Saturday,21,Soroca,With fatalities
2022,Male,57,Thursday,21,Chișinău,With fatalities
2024,Male,56,Tuesday,4,Chișinău,Without fatalities
2019,Male,41,Thursday,14,Comrat,Without fatalities
2020,Female,70,Sunday,11,Cahul,Without fatalities
2023,Male,38,Thursday,16,Chișinău,Without fatalities
2020,Female,37,Tuesday,23,Chișinău,Without fatalities
2021,Male,18,Wednesday,20,Soroca,With fatalities
2015,Female,33,Thursday,4,Cahul,Without fatalities
2022,Male,52,Sunday,18,Ungheni,Without fatalities
2022,Male,63,Sunday,9,Orhei,With fatalities
2016,Male,27,Monday,11,Bălți,Without fatalities
2018,Female,46,Friday,1,Comrat,Without fatalities
2021,Female,55,Tuesday,16,Soroca,Without fatalities
2023,Male,40,Tuesday,4,Edineț,Without fatalities
2014,Male,18,Thursday,14,Ungheni,Without fatalities
2020,Male,43,Wednesday,19,Edineț,Without fatalities
2014,Female,51,Wednesday,22,Ungheni,With fatalities
2021,Male,25,Friday,12,Soroca,Without fatalities
2021,Female,36,Friday,19,Cahul,Without fatalities
2023,Male,22,Sunday,10,Ungheni,Without fatalities
2014,Female,18,Wednesday,17,Hîncești,Without fatalities
2023,Female,55,Saturday,8,Soroca,Without fatalities
2024,Female,39,Wednesday,15,Ungheni,Without fatalities
2019,Male,63,Wednesday,23,Ungheni,With fatalities
2020,Female,52,Thursday,14,Comrat,Without fatalities
2014,Male,34,Sunday,3,Bălți,Without fatalities
2021,Female,38,Monday,23,Ungheni,Without fatalities
2022,Male,48,Friday,11,Cahul,Without fatalities
2017,Female,54,Saturday,12,Comrat,Without fatalities
2022,Female,44,Saturday,8,Ungheni,Without fatalities
2020,Male,56,Tuesday,14,Edineț,Without fatalities
2022,Male,35,Wednesday,17,Soroca,Without fatalities
2019,Female,25,Wednesday,19,Hîncești,Without fatalities
2023,Female,39,Monday,21,Hîncești,Without fatalities
2022,Male,43,Sunday,6,Cahul,Without fatalities
2021,Female,21,Wednesday,20,Hîncești,Without fatalities
2021,Female,19,Friday,11,Ungheni,Without fatalities
2023,Male,46,Saturday,9,Hîncești,Without fatalities
2022,Male,33,Wednesday,6,Bălți,Without fatalities
2017,Male,37,Monday,13,Soroca,Without fatalities
2022,Female,34,Thursday,14,Orhei,Without fatalities
2021,Female,62,Friday,3,Cahul,Without fatalities
2015,Female,58,Thursday,7,Bălți,Without fatalities
2022,Male,21,Tuesday,18,Chișinău,Without fatalities
2016,Female,32,Monday,18,Comrat,With fatalities
2023,Male,52,Tuesday,4,Ungheni,Without fatalities
2022,Male,49,Tuesday,21,Edineț,With fatalities
2021,Female,39,Saturday,2,Edineț,Without fatalities
2023,Male,22,Tuesday,9,Edineț,Without fatalities
2019,Female,29,Tuesday,14,Bălți,Without fatalities
2021,Male,32,Monday,1,Soroca,Without fatalities
2014,Male,44,Thursday,20,Edineț,Without fatalities
2024,Male,65,Wednesday,9,Bălți,With fatalities
2015,Female,29,Tuesday,21,Bălți,Without fatalities
2016,Male,24,Saturday,15,Chișinău,Without fatalities
2021,Female,38,Sunday,2,Orhei,With fatalities
2020,Male,55,Wednesday,6,Soroca,Without fatalities
2021,Male,18,Saturday,18,Chișinău,Without fatalities
2023,Male,61,Wednesday,14,Edineț,Without fatalities
2017,Female,37,Tuesday,11,Edineț,Without fatalities
2022,Female,28,Friday,1,Soroca,Without fatalities
2014,Female,18,Sunday,12,Cahul,Without fatalities
2023,Female,50,Wednesday,19,Edineț,Without fatalities
2023,Female,37,Friday,18,Cahul,Without fatalities
2020,Male,42,Thursday,6,Ungheni,Without fatalities
2017,Male,26,Wednesday,23,Comrat,Without fatalities
2023,Female,35,Monday,2,Comrat,Without fatalities
2024,Female,32,Saturday,5,Ungheni,Without fatalities
2016,Female,38,Sunday,0,Hîncești,Without fatalities
2022,Female,29,Thursday,20,Orhei,Without fatalities
2024,Male,18,Thursday,1,Edineț,Without fatalities
2022,Female,80,Sunday,0,Comrat,Without fatalities
2023,Female,19,Friday,22,Ungheni,Without fatalities
2018,Female,42,Tuesday,3,Bălți,Without fatalities
2016,Female,18,Saturday,4,Bălți,Without fatalities
2020,Male,18,Monday,1,Edineț,With fatalities
2020,Male,41,Sunday,15,Edineț,Without fatalities
2023,Female,42,Sunday,7,Chișinău,Without fatalities
2020,Male,58,Monday,14,Chișinău,Without fatalities
2018,Male,45,Friday,10,Ungheni,Without fatalities
2024,Female,37,Friday,9,Chișinău,Without fatalities
2023,Female,25,Thursday,2,Chișinău,Without fatalities
2022,Male,62,Sunday,22,Soroca,Without fatalities
2018,Male,53,Friday,10,Chișinău,Without fatalities
2018,Male,21,Tuesday,16,Orhei,Without fatalities
2021,Male,40,Thursday,9,Ungheni,Without fatalities
2021,Male,42,Thursday,16,Soroca,With fatalities
2019,Female,34,Thursday,13,Hîncești,Without fatalities
2017,Male,51,Monday,22,Bălți,Without fatalities
2020,Male,52,Saturday,0,Cahul,Without fatalities
2021,Male,37,Saturday,8,Cahul,Without fatalities
2015,Male,35,Monday,23,Hîncești,Without fatalities
2022,Male,62,Thursday,23,Cahul,With fatalities
2014,Male,53,Tuesday,14,Soroca,Without fatalities
2017,Male,41,Wednesday,3,Orhei,Without fatalities
2017,Male,18,Thursday,19,Orhei,Without fatalities
2022,Female,45,Friday,20,Orhei,With fatalities
2021,Female,50,Sunday,2,Chișinău,Without fatalities
2023,Male,18,Sunday,19,Orhei,Without fatalities
2019,Female,43,Saturday,20,Chișinău,Without fatalities
2018,Female,33,Sunday,6,Orhei,Without fatalities
2023,Female,36,Wednesday,20,Orhei,With fatalities
2021,Female,26,Monday,21,Cahul,Without fatalities
2019,Female,37,Monday,2,Cahul,Without fatalities
2020,Female,60,Wednesday,21,Orhei,Without fatalities
2021,Male,33,Saturday,21,Bălți,Without fatalities
2022,Male,54,Saturday,14,Soroca,Without fatalities
2015,Female,27,Friday,9,Cahul,Without fatalities
2018,Male,51,Monday,15,Soroca,With fatalities
2021,Female,40,Monday,16,Cahul,Without fatalities
2022,Male,45,Thursday,22,Bălți,Without fatalities
2017,Male,40,Tuesday,18,Ungheni,Without fatalities
2018,Male,49,Friday,0,Soroca,Without fatalities
2023,Female,18,Thursday,0,Orhei,Without fatalities
2023,Male,18,Sunday,20,Bălți,Without fatalities
2016,Male,46,Tuesday,13,Cahul,Without fatalities
2024,Female,18,Sunday,1,Cahul,Without fatalities
2021,Female,32,Monday,1,Orhei,Without fatalities
2022,Male,39,Tuesday,19,Chișinău,Without fatalities
2022,Female,27,Monday,9,Comrat,Without fatalities
2020,Male,29,Saturday,14,Edineț,Without fatalities
2022,Male,44,Thursday,14,Comrat,Without fatalities
2022,Female,55,Monday,6,Ungheni,Without fatalities
2023,Female,25,Tuesday,7,Comrat,Without fatalities
2022,Male,31,Thursday,10,Chișinău,Without fatalities
2021,Female,29,Tuesday,15,Edineț,Without fatalities
2018,Male,18,Tuesday,22,Cahul,Without fatalities
2014,Female,42,Wednesday,6,Hîncești,With fatalities
2022,Female,54,Monday,19,Chișinău,With fatalities
2021,Female,55,Monday,8,Orhei,Without fatalities
2024,Female,26,Tuesday,18,Chișinău,Without fatalities
2016,Female,21,Sunday,23,Edineț,Without fatalities
2016,Male,40,Saturday,0,Cahul,Without fatalities
2018,Male,52,Monday,17,Ungheni,Without fatalities
2020,Male,42,Friday,7,Orhei,Without fatalities
2017,Female,44,Saturday,7,Ungheni,With fatalities
2021,Male,57,Saturday,21,Edineț,Without fatalities
2020,Male,28,Saturday,7,Hîncești,Without fatalities
2024,Female,36,Monday,13,Soroca,Without fatalities
2024,Female,64,Saturday,23,Chișinău,Without fatalities
2020,Female,37,Saturday,1,Edineț,With fatalities
2023,Male,20,Thursday,2,Bălți,Without fatalities
2018,Male,29,Monday,6,Orhei,Without fatalities
2015,Female,25,Saturday,2,Orhei,Without fatalities
2015,Male,45,Sunday,14,Comrat,Without fatalities
2014,Male,26,Friday,10,Hîncești,Without fatalities
2023,Female,44,Saturday,1,Chișinău,Without fatalities
2020,Male,28,Tuesday,21,Edineț,Without fatalities
2023,Female,18,Monday,17,Soroca,Without fatalities
2024,Male,44,Thursday,13,Orhei,Without fatalities
2019,Female,42,Friday,17,Edineț,Without fatalities
2019,Male,47,Wednesday,1,Edineț,Without fatalities
2019,Male,29,Tuesday,3,Comrat,With fatalities
2021,Female,28,Tuesday,13,Comrat,Without fatalities
2014,Female,46,Tuesday,6,Chișinău,Without fatalities
2014,Female,62,Friday,14,Edineț,Without fatalities
2023,Female,40,Monday,5,Cahul,Without fatalities
2023,Male,46,Monday,4,Soroca,With fatalities
2018,Female,35,Saturday,19,Ungheni,Without fatalities
2022,Female,18,Saturday,17,Cahul,Without fatalities
2018,Female,54,Monday,10,Soroca,Without fatalities
2023,Female,53,Sunday,7,Cahul,Without fatalities
2021,Female,50,Saturday,11,Hîncești,Without fatalities
2023,Male,37,Sunday,17,Hîncești,Without fatalities
2024,Female,48,Monday,14,Orhei,Without fatalities
2022,Female,53,Tuesday,7,Cahul,Without fatalities
2024,Female,64,Wednesday,3,Soroca,Without fatalities
2015,Male,54,Tuesday,20,Edineț,Without fatalities
2021,Male,40,Sunday,14,Hîncești,Without fatalities
2021,Male,20,Saturday,10,Cahul,Without fatalities
2020,Female,42,Wednesday,0,Soroca,Without fatalities
2019,Female,43,Wednesday,1,Bălți,Without fatalities
2023,Male,50,Monday,7,Bălți,Without fatalities
2022,Male,60,Thursday,15,Bălți,Without fatalities
2016,Female,38,Friday,0,Orhei,Without fatalities
2024,Female,71,Thursday,2,Cahul,Without fatalities
2024,Female,18,Wednesday,17,Soroca,With fatalities
2020,Male,46,Thursday,15,Edineț,Without fatalities
2018,Female,28,Saturday,20,Soroca,Without fatalities
2022,Female,18,Wednesday,19,Bălți,Without fatalities
2015,Male,36,Tuesday,19,Orhei,Without fatalities
2021,Male,18,Saturday,12,Bălți,Without fatalities
2022,Male,37,Tuesday,19,Edineț,Without fatalities
2020,Female,40,Saturday,3,Bălți,Without fatalities
2024,Male,56,Monday,3,Comrat,Without fatalities
2023,Male,18,Sunday,21,Ungheni,Without fatalities
2024,Female,53,Saturday,1,Ungheni,Without fatalities
2024,Female,41,Friday,12,Edineț,Without fatalities
2017,Male,55,Tuesday,12,Ungheni,Without fatalities
2022,Female,33,Saturday,19,Edineț,Without fatalities
2022,Male,20,Friday,6,Hîncești,Without fatalities
2015,Female,21,Monday,6,Edineț,Without fatalities
2019,Female,20,Saturday,16,Ungheni,Without fatalities
2021,Male,47,Sunday,9,Soroca,Without fatalities
2022,Male,62,Friday,11,Orhei,Without fatalities
2023,Male,31,Sunday,22,Hîncești,Without fatalities
2022,Female,49,Saturday,21,Soroca,Without fatalities
2021,Male,18,Tuesday,15,Bălți,Without fatalities
2023,Female,42,Tuesday,1,Comrat,Without fatalities
2022,Female,50,Thursday,21,Orhei,Without fatalities
2024,Male,18,Thursday,20,Cahul,With fatalities
2024,Female,36,Saturday,8,Edineț,Without fatalities
2022,Female,50,Thursday,11,Cahul,With fatalities
2022,Male,18,Saturday,16,Ungheni,Without fatalities
2023,Female,60,Saturday,15,Hîncești,Without fatalities
2023,Female,45,Sunday,4,Ungheni,Without fatalities
2023,Male,50,Friday,18,Bălți,Without fatalities
2022,Male,33,Tuesday,16,Hîncești,Without fatalities
2023,Female,18,Monday,21,Edineț,Without fatalities
2017,Female,48,Wednesday,2,Ungheni,Without fatalities
2023,Female,38,Tuesday,16,Orhei,Without fatalities
2019,Female,40,Thursday,14,Orhei,With fatalities
2024,Male,56,Saturday,18,Bălți,Without fatalities
2017,Female,51,Thursday,14,Hîncești,Without fatalities
2014,Female,68,Friday,17,Orhei,Without fatalities
2014,Female,42,Thursday,11,Soroca,Without fatalities
2018,Female,29,Friday,11,Bălți,Without fatalities
2016,Male,37,Monday,23,Chișinău,Without fatalities
2022,Female,46,Saturday,2,Comrat,Without fatalities
2021,Male,55,Thursday,10,Ungheni,With fatalities
2022,Male,18,Friday,22,Comrat,Without fatalities
2018,Male,40,Thursday,9,Soroca,Without fatalities
2023,Male,64,Friday,21,Chișinău,Without fatalities
2022,Male,36,Sunday,14,Soroca,With fatalities
2018,Female,53,Saturday,22,Ungheni,Without fatalities
2020,Male,47,Saturday,10,Chișinău,Without fatalities
2023,Male,54,Tuesday,22,Bălți,Without fatalities
2022,Male,27,Friday,0,Hîncești,Without fatalities
2022,Female,27,Wednesday,19,Chișinău,Without fatalities
2024,Male,40,Monday,3,Ungheni,Without fatalities
2017,Female,18,Tuesday,20,Edineț,Without fatalities
2021,Male,35,Monday,20,Soroca,Without fatalities
2022,Male,43,Tuesday,7,Comrat,With fatalities
2024,Female,66,Thursday,19,Bălți,Without fatalities
2022,Female,46,Friday,12,Ungheni,Without fatalities
2021,Female,49,Thursday,16,Ungheni,Without fatalities
2024,Male,57,Monday,14,Chișinău,Without fatalities
2021,Female,25,Saturday,20,Edineț,Without fatalities
2024,Female,37,Monday,0,Cahul,Without fatalities
2023,Female,76,Tuesday,2,Ungheni,With fatalities
2017,Female,38,Monday,23,Bălți,Without fatalities
2017,Female,56,Friday,20,Soroca,Without fatalities
2019,Male,54,Monday,22,Soroca,Without fatalities
2015,Female,18,Thursday,16,Cahul,Without fatalities
2022,Male,44,Saturday,21,Edineț,Without fatalities
2024,Female,42,Friday,23,Chișinău,Without fatalities
2020,Female,44,Monday,21,Bălți,Without fatalities
2022,Male,28,Wednesday,3,Chișinău,Without fatalities
2024,Male,23,Wednesday,7,Orhei,Without fatalities
2018,Male,32,Saturday,14,Ungheni,Without fatalities
2020,Male,38,Thursday,7,Chișinău,Without fatalities
2014,Female,57,Tuesday,13,Comrat,Without fatalities
2018,Male,67,Tuesday,5,Hîncești,Without fatalities
2023,Female,60,Saturday,23,Soroca,Without fatalities
2022,Female,52,Monday,21,Comrat,Without fatalities
2023,Female,24,Friday,14,Ungheni,With fatalities
2021,Male,33,Saturday,19,Ungheni,Without fatalities
2023,Male,43,Tuesday,21,Ungheni,Without fatalities
2022,Male,30,Wednesday,8,Soroca,Without fatalities
2019,Female,48,Tuesday,23,Edineț,Without fatalities
2020,Male,50,Wednesday,22,Ungheni,Without fatalities
2022,Male,48,Tuesday,4,Comrat,Without fatalities
2024,Female,55,Thursday,12,Hîncești,With fatalities
2024,Male,26,Saturday,6,Orhei,Without fatalities
2024,Female,53,Friday,16,Ungheni,Without fatalities
2014,Male,29,Saturday,7,Soroca,With fatalities
2023,Male,25,Sunday,4,Edineț,Without fatalities
2024,Male,47,Monday,22,Ungheni,Without fatalities
2023,Male,58,Wednesday,6,Ungheni,Without fatalities
2020,Male,47,Tuesday,7,Comrat,Without fatalities
2023,Female,40,Monday,6,Orhei,Without fatalities
2021,Male,44,Wednesday,21,Chișinău,Without fatalities
2023,Male,42,Saturday,11,Hîncești,Without fatalities
2023,Male,23,Wednesday,5,Soroca,Without fatalities
2023,Male,21,Thursday,20,Bălți,Without fatalities
2023,Male,38,Tuesday,20,Soroca,With fatalities
2017,Male,41,Sunday,3,Edineț,With fatalities
2024,Male,40,Saturday,22,Orhei,Without fatalities
2018,Female,50,Sunday,2,Edineț,Without fatalities
2020,Female,36,Monday,4,Soroca,Without fatalities
2021,Male,48,Tuesday,18,Ungheni,Without fatalities
2023,Female,37,Saturday,7,Cahul,Without fatalities
2023,Male,67,Sunday,4,Bălți,Without fatalities
2024,Female,41,Tuesday,12,Hîncești,Without fatalities
2018,Male,75,Friday,9,Chișinău,Without fatalities
2021,Male,45,Wednesday,5,Bălți,Without fatalities
2018,Female,36,Sunday,0,Orhei,Without fatalities
2022,Male,26,Wednesday,10,Orhei,With fatalities
2018,Female,18,Friday,19,Chișinău,Without fatalities
2024,Male,25,Friday,8,Edineț,Without fatalities
2024,Male,26,Tuesday,15,Ungheni,With fatalities
2019,Male,45,Wednesday,14,Comrat,Without fatalities
